Title,Genre,Artist
Feel Good Inc.,pop,Gorillaz
Yellow,pop,Coldplay
Viva la Vida,pop,Coldplay
Poker Face,pop,Lady Gaga
The Scientist,pop,Coldplay
Kids,pop,MGMT
Somebody Told Me,pop,The Killers
Billie Jean,pop,Michael Jackson
Wonderwall,pop,Oasis
Pumped Up Kicks,pop,Foster the People
Take on Me,pop,a-ha
Bad Romance,pop,Lady Gaga
Heartless,pop,Kanye West
Toxic,pop,Britney Spears
Clocks,pop,Coldplay
Rolling in the Deep,pop,Adele
I Kissed a Girl,pop,Katy Perry
Fix You,pop,Coldplay
Somebody That I Used To Know,pop,Gotye
Just Dance,pop,Lady Gaga
Everybody Wants to Rule the World,pop,Tears for Fears
Back to Black,pop,Amy Winehouse
Clint Eastwood,pop,Gorillaz
Paparazzi,pop,Lady Gaga
Umbrella,pop,Rihanna
Hey Ya!,pop,OutKast
The Less I Know the Better,pop,Tame Impala
Summertime Sadness,pop,Lana Del Rey
Chasing Cars,pop,Snow Patrol
Losing My Religion,pop,R.E.M.
Dog Days Are Over,pop,Florence + the Machine
Somewhere Only We Know,pop,Keane
Every Breath You Take,pop,The Police
Dancing Queen,pop,ABBA
Hot n Cold,pop,Katy Perry
Paper Planes,pop,M.I.A.
This Love,pop,Maroon 5
I Gotta Feeling,pop,Black Eyed Peas
Ms. Jackson,pop,OutKast
Beat It,pop,Michael Jackson
Friday I'm in Love,pop,The Cure
I'm Yours,pop,Jason Mraz
Blinding Lights,pop,The Weeknd
Video Games,pop,Lana Del Rey
Boys Don't Cry,pop,The Cure
Pink + White,pop,Frank Ocean
DARE,pop,Gorillaz
Don't Stop the Music,pop,Rihanna
Someone Like You,pop,Adele
Crazy,pop,Gnarls Barkley
Smells Like Teen Spirit,rock,Nirvana
Mr. Brightside,rock,The Killers
Creep,rock,Radiohead
Come as You Are,rock,Nirvana
Feel Good Inc.,rock,Gorillaz
Yellow,rock,Coldplay
Viva la Vida,rock,Coldplay
Karma Police,rock,Radiohead
No Surprises,rock,Radiohead
Take Me Out,rock,Franz Ferdinand
Chop Suey!,rock,System of a Down
Californication,rock,Red Hot Chili Peppers
Everlong,rock,Foo Fighters
In the End,rock,Linkin Park
Seven Nation Army,rock,The White Stripes
The Scientist,rock,Coldplay
Somebody Told Me,rock,The Killers
Wonderwall,rock,Oasis
Under the Bridge,rock,Red Hot Chili Peppers
Sex on Fire,rock,Kings of Leon
Numb,rock,Linkin Park
Do I Wanna Know?,rock,Arctic Monkeys
Clocks,rock,Coldplay
Lithium,rock,Nirvana
Supermassive Black Hole,rock,Muse
Sweet Child o' Mine,rock,Guns N' Roses
505,rock,Arctic Monkeys
Scar Tissue,rock,Red Hot Chili Peppers
I Kissed a Girl,rock,Katy Perry
Fix You,rock,Coldplay
Zombie,rock,The Cranberries
Heart-Shaped Box,rock,Nirvana
Everybody Wants to Rule the World,rock,Tears for Fears
Why'd You Only Call Me When You're High?,rock,Arctic Monkeys
Clint Eastwood,rock,Gorillaz
About a Girl,rock,Nirvana
Bring Me to Life,rock,Evanescence
Reptilia,rock,The Strokes
Misery Business,rock,Paramore
All the Small Things,rock,blink-182
Otherside,rock,Red Hot Chili Peppers
Paranoid Android,rock,Radiohead
Fluorescent Adolescent,rock,Arctic Monkeys
Basket Case,rock,Green Day
The Less I Know the Better,rock,Tame Impala
Chasing Cars,rock,Snow Patrol
Can't Stop,rock,Red Hot Chili Peppers
Toxicity,rock,System of a Down
Losing My Religion,rock,R.E.M.
Somewhere Only We Know,rock,Keane
Feel Good Inc.,hip hop,Gorillaz
Stronger,hip hop,Kanye West
Heartless,hip hop,Kanye West
Clint Eastwood,hip hop,Gorillaz
Hey Ya!,hip hop,OutKast
Paper Planes,hip hop,M.I.A.
I Gotta Feeling,hip hop,Black Eyed Peas
Ms. Jackson,hip hop,OutKast
In Da Club,hip hop,50 Cent
Without Me,hip hop,Eminem
The Real Slim Shady,hip hop,Eminem
Crazy,hip hop,Gnarls Barkley
See You Again (feat. Kali Uchis),hip hop,"Tyler, the Creator"
HUMBLE.,hip hop,Kendrick Lamar
It Was A Good Day,hip hop,Ice Cube
Promiscuous,hip hop,Nelly Furtado
Flashing Lights,hip hop,Kanye West
Best I Ever Had,hip hop,Drake
Gold Digger,hip hop,Kanye West
Money Trees,hip hop,Kendrick Lamar
All of the Lights,hip hop,Kanye West
Earfquake,hip hop,"Tyler, the Creator"
Can't Tell Me Nothing,hip hop,Kanye West
Lose Yourself,hip hop,Eminem
Still D.R.E.,hip hop,Dr. Dre
I Wonder,hip hop,Kanye West
Gangsta's Paradise,hip hop,Coolio
Power,hip hop,Kanye West
Bound 2,hip hop,Kanye West
Starships,hip hop,Nicki Minaj
Stressed Out,hip hop,Twenty One Pilots
All The Stars (with SZA),hip hop,Kendrick Lamar
Alright,hip hop,Kendrick Lamar
Dirty Harry,hip hop,Gorillaz
Father Stretch My Hands Pt. 1,hip hop,Kanye West
No Scrubs,hip hop,TLC
Stan,hip hop,Eminem
Sunflower - Spider-Man: Into the Spider-Verse,hip hop,Post Malone
Super Bass,hip hop,Nicki Minaj
Mockingbird,hip hop,Eminem
Pump It,hip hop,Black Eyed Peas
Can't Hold Us (feat. Ray Dalton),hip hop,Macklemore & Ryan Lewis
DNA.,hip hop,Kendrick Lamar
Love The Way You Lie,hip hop,Eminem
PRIDE.,hip hop,Kendrick Lamar
The Next Episode,hip hop,Dr. Dre
NEW MAGIC WAND,hip hop,"Tyler, the Creator"
Runaway,hip hop,Kanye West
No Role Modelz,hip hop,J. Cole
LOVE. FEAT. ZACARI.,hip hop,Kendrick Lamar
Back to Black,jazz,Amy Winehouse
Rehab,jazz,Amy Winehouse
You Know I'm No Good,jazz,Amy Winehouse
Earfquake,jazz,"Tyler, the Creator"
Tears Dry on Their Own,jazz,Amy Winehouse
What A Wonderful World,jazz,Louis Armstrong
Put Your Records On,jazz,Corinne Bailey Rae
Show Me How,jazz,Men I Trust
Love Is a Losing Game,jazz,Amy Winehouse
Super Rich Kids,jazz,Frank Ocean
Respect,jazz,Aretha Franklin
The National Anthem,jazz,Radiohead
Hit the Road Jack,jazz,Ray Charles
Don't Know Why,jazz,Norah Jones
Feeling Good,jazz,Nina Simone
Mercy,jazz,Duffy
My Way,jazz,Frank Sinatra
He Can Only Hold Her,jazz,Amy Winehouse
you should see me in a crown,jazz,Billie Eilish
United In Grief,jazz,Kendrick Lamar
Pretty When You Cry,jazz,Lana Del Rey
At Last,jazz,Etta James
Them Changes,jazz,Thundercat
Pink Matter,jazz,Frank Ocean
Come Away with Me,jazz,Norah Jones
Wake Up Alone,jazz,Amy Winehouse
Funny Thing,jazz,Thundercat
Forrest Gump,jazz,Frank Ocean
Just Friends,jazz,Amy Winehouse
The Other Woman,jazz,Lana Del Rey
To Build a Home,jazz,The Cinematic Orchestra
Some Unholy War,jazz,Amy Winehouse
Nobody Gets Me,jazz,SZA
From The Start,jazz,Laufey
It's Oh So Quiet,jazz,Björk
Me & Mr Jones,jazz,Amy Winehouse
Sunrise,jazz,Norah Jones
Feeling Good,jazz,Michael Bublé
my future,jazz,Billie Eilish
Englishman in New York,jazz,Sting
Giorgio by Moroder,jazz,Daft Punk
Strangers in the Night,jazz,Frank Sinatra
I Put a Spell on You,jazz,Nina Simone
Smooth Operator - Single Version,jazz,Sade
Somethin' Stupid,jazz,Frank Sinatra
So What,jazz,Miles Davis
White,jazz,Frank Ocean
Monks,jazz,Frank Ocean
Xanny,jazz,Billie Eilish
The Christmas Song (Merry Christmas To You),jazz,Nat King Cole
you should see me in a crown,classical,Billie Eilish
Karma,classical,Taylor Swift
Lush Life,classical,Zara Larsson
Clair de lune,classical,Claude Debussy
"Comptine d'un autre été, L'Après-midi",classical,Yann Tiersen
Symphony (feat. Zara Larsson),classical,Clean Bandit
Für Elise,classical,Ludwig van Beethoven
Gymnopédie No. 1,classical,Erik Satie
Cornfield Chase,classical,Hans Zimmer
Blow Your Mind (Mwah),classical,Dua Lipa
Be The One,classical,Dua Lipa
River Flows in You,classical,Yiruma
Bad At Love,classical,Halsey
Nuvole Bianche,classical,Ludovico Einaudi
Mia & Sebastian’s Theme,classical,Justin Hurwitz
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",classical,Johann Sebastian Bach
