Title,Genre,Artist,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Feel Good Inc.,pop,Gorillaz,0d28khcov6AiegSCpG5TuT,Feel Good Inc.,Demon Days,82.0,N,2005-05-23,0.818,0.705,-6.679,0.177,0.00836,0.00233,0.613,0.772,6.0,1.0,138.559,222640.0
Yellow,pop,Coldplay,3AJwUDP919kvQ9QcozQPxg,Yellow,Parachutes,89.0,N,2000-07-10,0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,0.285,11.0,1.0,173.372,266773.0
Viva la Vida,pop,Coldplay,1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Viva La Vida or Death and All His Friends,86.0,N,2008-05-26,0.486,0.617,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,5.0,0.0,138.015,242373.0
Poker Face,pop,Lady Gaga,5R8dQOPq8haW94K7mgERlO,Poker Face,The Fame,76.0,N,2008-01-01,0.851,0.806,-4.618,0.0787,0.119,1.72e-06,0.121,0.774,4.0,1.0,119.001,237200.0
The Scientist,pop,Coldplay,75JFxkI2RXiU7L9VXzMkle,The Scientist,A Rush of Blood to the Head,85.0,N,2002-08-27,0.557,0.442,-7.224,0.0243,0.731,1.46e-05,0.11,0.213,5.0,1.0,146.277,309600.0
Kids,pop,MGMT,1jJci4qxiYcOHhQR247rEU,Kids,Oracular Spectacular,77.0,N,2007-12-14,0.451,0.931,-3.871,0.0719,0.00076,0.0049,0.361,0.172,9.0,1.0,122.961,302840.0
Somebody Told Me,pop,The Killers,6PwjJ58I4t7Mae9xfZ9l9v,Somebody Told Me,Hot Fuss,80.0,N,2004,0.497,0.97,-4.851,0.0836,9.04e-05,0.000674,0.101,0.689,10.0,0.0,138.081,197200.0
Billie Jean,pop,Michael Jackson,5ChkMS8OtdzJeqyybCc9R5,Billie Jean,Thriller 25 Super Deluxe Edition,77.0,N,2008-02-08,0.92,0.654,-3.051,0.0401,0.0236,0.0153,0.036,0.847,11.0,0.0,117.046,293827.0
Wonderwall,pop,Oasis,1qPbGZqppFwLwcBC1JQ6Vr,Wonderwall,(What's The Story) Morning Glory?,72.0,N,1995-10-02,0.41,0.854,-5.609,0.0366,0.00236,0.0,0.133,0.456,2.0,1.0,174.584,258907.0
Pumped Up Kicks,pop,Foster the People,7w87IxuO7BDcJ3YUqCyMTT,Pumped Up Kicks,Torches,85.0,N,2011-05-23,0.733,0.71,-5.849,0.0292,0.145,0.115,0.0956,0.965,5.0,0.0,127.975,239600.0
Take on Me,pop,a-ha,2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,Hunting High and Low,86.0,N,1985-06-01,0.573,0.902,-7.638,0.054,0.018,0.00125,0.0928,0.876,6.0,0.0,84.412,225280.0
Bad Romance,pop,Lady Gaga,0SiywuOBRcynK0uKGWdCnn,Bad Romance,The Fame Monster (Deluxe Edition),82.0,N,2009-11-05,0.695,0.921,-3.752,0.0363,0.00314,5.26e-05,0.0842,0.714,0.0,1.0,119.007,294573.0
Heartless,pop,Kanye West,4EWCNWgDS8707fNSZ1oaA5,Heartless,808s & Heartbreak,84.0,N,2008-11-24,0.79,0.647,-5.983,0.136,0.0515,0.0,0.248,0.654,10.0,0.0,87.999,211000.0
Toxic,pop,Britney Spears,6I9VzXrHxO9rA9A5euc8Ak,Toxic,In The Zone,84.0,N,2003-11-13,0.774,0.838,-3.914,0.114,0.0249,0.025,0.242,0.924,5.0,0.0,143.04,198800.0
Clocks,pop,Coldplay,0BCPKOYdS2jbQ8iyB56Zns,Clocks,A Rush of Blood to the Head,82.0,N,2002-08-27,0.577,0.749,-7.215,0.0279,0.599,0.0115,0.183,0.255,5.0,0.0,130.97,307880.0
Rolling in the Deep,pop,Adele,1c8gk2PeTE04A1pIDH9YMk,Rolling in the Deep,21,78.0,N,2011-01-24,0.73,0.769,-5.114,0.0298,0.138,0.0,0.0473,0.507,8.0,1.0,104.948,228093.0
I Kissed a Girl,pop,Katy Perry,005lwxGU1tms6HGELIcUv9,I Kissed A Girl,One Of The Boys,69.0,N,2008-06-17,0.702,0.76,-3.174,0.0684,0.00226,0.0,0.132,0.696,5.0,1.0,129.996,179640.0
Fix You,pop,Coldplay,7LVHVU3tWfcxj5aiPFEW4Q,Fix You,X&Y,83.0,N,2005-06-07,0.209,0.417,-8.74,0.0338,0.164,0.00196,0.113,0.124,3.0,1.0,138.178,295533.0
Somebody That I Used To Know,pop,Gotye,4wCmqSrbyCgxEXROQE6vtV,Somebody That I Used To Know,Making Mirrors,74.0,Y,2011-01-01,0.864,0.495,-7.036,0.037,0.591,0.000133,0.0992,0.72,0.0,1.0,129.062,244973.0
Just Dance,pop,Lady Gaga,2x7MyWybabEz6Y6wvHuwGE,Just Dance,The Fame,74.0,Y,2008-01-01,0.822,0.739,-4.541,0.0311,0.0264,4.28e-05,0.181,0.745,1.0,0.0,118.99,241933.0
