Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
The Thrill Is Gone,B.B. King,Blues,4NQfrmGs9iQXVQI9IpRhjM,The Thrill Is Gone,Completely Well,62.0,N,1969-12-05,0.547,0.46,-8.759,0.0256,0.344,0.442,0.0983,0.543,11.0,0.0,90.768,324733.0
Sweet Home Chicago,Robert Johnson,Blues,2wPHe2ecCdkT0ly0km12g4,Sweet Home Chicago,King Of The Delta Blues,36.0,N,1936,0.691,0.0958,-13.9,0.143,0.98,1.61e-05,0.0931,0.519,1.0,0.0,101.574,176627.0
Stormy Monday,T-Bone Walker,Blues,1i7nQGgwloILcp6ZftH2Qa,Call It Stormy Monday,T-Bone Blues,45.0,N,2005-03-29,0.511,0.295,-13.77,0.0637,0.857,0.000769,0.113,0.516,0.0,1.0,64.448,187600.0
Cross Road Blues,Robert Johnson,Blues,1TrGdXSgiBm8W68D2K1COG,Cross Road Blues,King Of The Delta Blues Singers,45.0,N,1937,0.675,0.311,-11.959,0.0525,0.93,0.000261,0.102,0.638,9.0,1.0,97.159,149560.0
Hoochie Coochie Man,Muddy Waters,Blues,3KSchPNSklO5McIqRH3qYX,I'm Your Hoochie Coochie Man,King Of The Electric Blues,55.0,N,1977,0.542,0.588,-9.268,0.0665,0.67,0.158,0.241,0.881,2.0,1.0,113.948,238533.0
Pride and Joy,Stevie Ray Vaughan,Blues,1a2iF9XymafjRk56q7oCxo,Pride and Joy,Texas Flood (Legacy Edition),65.0,N,1983,0.427,0.626,-11.821,0.0385,0.0274,0.00395,0.106,0.743,8.0,1.0,126.877,219587.0
Born Under a Bad Sign,Albert King,Blues,3ocm1Cf1Dk1ODrdBdybh82,Born Under A Bad Sign - Mono Mix,Born Under A Bad Sign (Mono),56.0,N,1967-01-01,0.711,0.483,-11.211,0.0298,0.434,0.012,0.0284,0.884,11.0,1.0,91.652,169998.0
I Can't Quit You Baby,Otis Rush,Blues,1TVtYIucWI5fqdQwwlZFR3,I Can't Quit You Baby,An Introduction To Otis Rush,31.0,N,1956,0.492,0.596,-4.038,0.0395,0.97,0.043,0.284,0.548,2.0,1.0,86.952,219560.0
Boom Boom,John Lee Hooker,Blues,2Mr1bGI2E10K7Mt1UJZ6Mw,Boom Boom,Burnin',58.0,N,1962-01-01,0.441,0.455,-14.207,0.0485,0.62,0.00187,0.135,0.918,10.0,1.0,160.9,152351.0
Little Red Rooster,Willie Dixon,Blues,3Gq3uFAdJltar4ddwboPby,Little Red Rooster,Poet Of the Blues (Mojo Workin'- Blues For The Next Generation),42.0,N,1947,0.584,0.278,-18.566,0.0312,0.55,0.21,0.255,0.75,4.0,1.0,81.712,215027.0
Every Day I Have the Blues,B.B. King,Blues,6E8jqiKej8Tv37A4s95R8b,"Every Day I Have The Blues - Live At The Regal Theater, Chicago, 1964",Live At The Regal,27.0,N,1965,0.389,0.677,-9.421,0.156,0.581,1.63e-06,0.375,0.636,5.0,0.0,163.085,189133.0
Back Water Blues,Bessie Smith,Blues,2ABW9AYFdHh1QTGYNVmurr,Back Water Blues,Sings Bessie Smith,18.0,N,1988-11-15,0.671,0.404,-9.699,0.0359,0.875,1.55e-05,0.108,0.598,5.0,0.0,98.391,285400.0
Key to the Highway,Big Bill Broonzy,Blues,1k3e8F8f838asGfAH4tJMD,Key to the Highway,Feelin' Low Down,16.0,N,1952-04-14,0.58,0.261,-13.995,0.0816,0.765,0.000462,0.0861,0.569,7.0,1.0,101.968,183920.0
Ain't No Sunshine,Bill Withers,Blues,1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,Just As I Am,82.0,N,1971-05-01,0.527,0.415,-11.451,0.122,0.457,1.72e-05,0.117,0.515,4.0,0.0,78.169,125093.0
Sweet Little Angel,B.B. King,Blues,4xDugsnzDMX1z44ZTtxpO2,Sweet Little Angel,Singin' The Blues,31.0,N,1957-01-01,0.563,0.558,-3.932,0.0364,0.807,1.98e-05,0.154,0.558,6.0,1.0,68.845,180987.0
Wang Dang Doodle,Koko Taylor,Blues,1cXc92MX9kFjMrrDsvdf9w,Wang Dang Doodle,Koko Taylor,48.0,N,1987-01-01,0.648,0.544,-8.963,0.179,0.343,2.93e-06,0.087,0.619,1.0,1.0,153.063,182827.0
Rock Me Baby,B.B. King,Blues,1bursm5ZnNHQS55a23h7kR,Rock Me Baby,Deuces Wild,46.0,Y,1997-11-04,0.715,0.544,-8.768,0.0574,0.00197,0.0544,0.11,0.67,7.0,1.0,167.784,397200.0
Dust My Broom,Elmore James,Blues,0fM0mFxHP1R4KPX1PB8tWU,Dust My Broom,Shake Your Money Maker: The Best Of The Fire Sessions,43.0,N,2001-04-03,0.507,0.66,-4.957,0.0306,0.0115,0.336,0.322,0.696,2.0,1.0,100.783,175040.0
Got My Mojo Working,Muddy Waters,Blues,18n0zch7bRo453Iwq98xYf,Got My Mojo Working,The Chess Box,51.0,N,1989-11-07,0.517,0.795,-9.633,0.0594,0.585,0.00375,0.226,0.875,4.0,1.0,113.534,172060.0
I'm a Man,Bo Diddley,Blues,760clbeDBWmBsBLbszWuNZ,I'm A Man,Bo Diddley,55.0,N,1958-01-01,0.513,0.546,-15.672,0.0391,0.333,0.0,0.17,0.834,0.0,1.0,85.527,164547.0
I'm So Glad,Cream,Blues,5UCSVXqaP7yv38ZtS6Iu4X,I'm So Glad,Fresh Cream,38.0,N,1966-12-09,0.356,0.561,-11.797,0.0392,0.0313,6.2e-05,0.25,0.34,2.0,1.0,135.593,238000.0
You Shook Me,Willie Dixon,Blues,1xns0tyPRpOrODwND6ELTF,You Shook Me,I Am The Blues,25.0,N,1970,0.338,0.251,-17.826,0.036,0.65,0.019,0.269,0.587,5.0,1.0,183.015,254723.0
