Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Jolene,Dolly Parton,Country,2SpEHTbUuebeLkgs9QB7Ue,Jolene,Jolene,70.0,N,1974-02-04,0.674,0.537,-10.971,0.0363,0.566,0.0,0.131,0.809,1.0,0.0,110.578,161533.0
Ring of Fire,Johnny Cash,Country,6YffUZJ2R06kyxyK6onezL,Ring of Fire,Ring Of Fire: The Best Of Johnny Cash,68.0,N,1963-08-06,0.659,0.585,-8.189,0.0288,0.623,0.000213,0.348,0.784,7.0,1.0,104.111,158427.0
"Take Me Home, Country Roads",John Denver,Country,1QbOvACeYanja5pbnJbAmk,"Take Me Home, Country Roads","The John Denver Collection, Vol 1: Take Me Home Country Roads",73.0,N,1997-06-17,0.38,0.43,-12.564,0.0288,0.546,1.71e-05,0.188,0.547,9.0,1.0,82.204,197813.0
I Will Always Love You,Dolly Parton,Country,6nRvgo4ySezQKD1D7NIqAu,I Will Always Love You,Jolene,58.0,N,1974-02-04,0.446,0.142,-13.498,0.0335,0.96,0.00114,0.101,0.156,9.0,1.0,135.724,176093.0
Friends in Low Places,Garth Brooks,Country,4OMj5QWwvYSUs9O0hsymts,Friends in Low Places,Strummin' On Garth,60.0,N,2015-03-13,0.553,0.655,-5.837,0.0355,0.617,0.0,0.0825,0.624,9.0,1.0,107.739,258508.0
The Gambler,Kenny Rogers,Country,5KqldkCunQ2rWxruMEtGh0,The Gambler,The Gambler,75.0,N,1978-11-20,0.668,0.501,-13.119,0.0629,0.342,0.0,0.194,0.858,4.0,1.0,87.086,214880.0
Folsom Prison Blues,Johnny Cash,Country,2fDHuS1PTkHBbCWWZF1ph9,"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",At Folsom Prison,67.0,N,1968-05-01,0.621,0.524,-15.269,0.0803,0.0652,0.00199,0.893,0.889,0.0,1.0,110.586,162653.0
Before He Cheats,Carrie Underwood,Country,0ZUo4YjG4saFnEJhdWp9Bt,Before He Cheats,Some Hearts,77.0,N,2005-11-14,0.519,0.749,-3.318,0.0405,0.271,0.0,0.119,0.29,6.0,0.0,147.905,199947.0
Wagon Wheel,Old Crow Medicine Show,Country,5aAHai9OzUlkYPk2TJ4LLp,Wagon Wheel,O.C.M.S.,51.0,N,2004-02-24,0.621,0.403,-8.211,0.0359,0.581,0.0,0.114,0.634,9.0,1.0,145.523,232133.0
Chicken Fried,Zac Brown Band,Country,0LQtEJt7x0s6knb6RKdRYc,Chicken Fried,The Foundation,76.0,N,2008-11-17,0.566,0.713,-4.25,0.0418,0.645,0.0,0.114,0.805,6.0,1.0,169.861,238147.0
Boot Scootin' Boogie,Brooks & Dunn,Country,7Fq9RwQxSn3kW85PrDUf0M,Boot Scootin' Boogie,#1s ... and then some,71.0,N,2009-09-08,0.656,0.817,-4.296,0.0435,0.22,0.0,0.304,0.862,11.0,0.0,130.448,198227.0
The Dance,Garth Brooks,Country,2vnVgXT1kgA5l64IS9GjVj,The Dance,Garth Brooks Hits - A Tribute Album,38.0,N,2023-08-29,0.557,0.208,-13.414,0.0304,0.614,0.000537,0.302,0.131,7.0,1.0,134.01,216497.0
Independence Day,Martina McBride,Country,1nVoLxz8C0uGgMKfywy0vf,Independence Day,The Way That I Am,57.0,N,1993-09-12,0.712,0.63,-6.202,0.0299,0.257,6.65e-05,0.0999,0.768,9.0,1.0,118.378,204627.0
Girl Crush,Little Big Town,Country,11qh54D0PKkBwelpDxxiEU,Girl Crush,Pain Killer,66.0,N,2014-10-17,0.498,0.225,-10.22,0.0302,0.842,0.0,0.112,0.355,0.0,1.0,173.787,193320.0
Tennessee Whiskey,Chris Stapleton,Country,3fqwjXwUGN6vbzIwvyFMhx,Tennessee Whiskey,Traveller,82.0,N,2015-05-04,0.392,0.37,-10.888,0.0298,0.205,0.0096,0.0821,0.512,9.0,1.0,48.718,293293.0
Your Cheatin' Heart,Hank Williams,Country,0WwmFdGXe7Yky4T2J1oqLk,Your Cheatin' Heart,Memorial Album (Expanded Edition),49.0,N,1953-03-01,0.662,0.236,-11.631,0.0285,0.766,2.39e-05,0.0798,0.653,0.0,1.0,127.85,164373.0
He’ll Have to Go,Jim Reeves,Country,0HAfPU3oUhlY8VpdVAgIlt,He'll Have to Go,The Essential Jim Reeves,36.0,N,1995-07-31,0.567,0.168,-16.451,0.038,0.85,0.00106,0.109,0.198,1.0,1.0,81.331,138373.0
Man! I Feel Like a Woman!,Shania Twain,Country,2mqaYmF0XmV8egZB6jQOtN,Man! I Feel Like A Woman!,Come On Over (Diamond Edition / Super Deluxe),72.0,N,1997,0.69,0.74,-3.342,0.0351,0.447,0.0,0.0858,0.657,10.0,1.0,125.092,233415.0
Crazy,Patsy Cline,Country,3Vxc7fLBmG8vNk6G6Va9Nz,Crazy,The Definitive Collection,47.0,Y,2004-06-22,0.584,0.194,-13.375,0.0336,0.901,0.000561,0.0829,0.47,10.0,1.0,106.557,162013.0
I Walk the Line,Johnny Cash,Country,6uya0AiJA1Avd4DY2XFlVm,I Walk The Line - Single Version,With His Hot and Blue Guitar,67.0,Y,1957-01-01,0.862,0.484,-11.183,0.0421,0.798,0.00105,0.105,0.787,10.0,1.0,105.834,163046.0
Any Man of Mine,Shania Twain,Country,0pdfN7nOHMYmKykzu1cyfm,Any Man Of Mine,The Woman In Me,71.0,N,1995-01-01,0.592,0.725,-8.698,0.0412,0.207,0.0,0.148,0.784,8.0,1.0,78.235,246760.0
Some Beach,Blake Shelton,Country,7kWeSMXLxUHHOkFxsS0vhP,Some Beach,Blake Shelton's Barn & Grill,58.0,N,2004-10-26,0.787,0.765,-6.331,0.0265,0.231,1.79e-05,0.323,0.964,0.0,1.0,115.979,204827.0
My Best Friend,Tim McGraw,Country,5BeY2wY4rGFD1Q3aXO83Bv,My Best Friend,A Place In The Sun,54.0,N,1999-05-04,0.444,0.484,-8.311,0.0289,0.12,0.0,0.135,0.263,9.0,1.0,147.715,279867.0
"If I Had $1,000,000",Barenaked Ladies,Country,0KeDuUqEX3P0cKzRD5pEom,"If I Had $1,000,000",Gordon,55.0,N,1992-07-28,0.644,0.433,-14.016,0.113,0.378,0.0,0.101,0.761,9.0,1.0,80.161,266733.0
Boots On,Randy Houser,Country,7K4VxvIXXbDbaVn6ARbch1,Boots On,Anything Goes,56.0,N,2008-01-01,0.713,0.887,-4.564,0.0322,0.0387,1.79e-05,0.273,0.88,8.0,1.0,112.016,170813.0
"Two of a Kind, Workin' on a Full House",Garth Brooks,Country,0JWHWLpdmLAxV3oqm3CZ8s,Two of a Kind (Workin' On a Full House),Strummin' On Garth,40.0,N,2015-03-13,0.634,0.806,-3.733,0.0553,0.327,0.0,0.136,0.909,2.0,1.0,126.295,151533.0
I Hope You Dance,Lee Ann Womack,Country,65B1tEOv5W294uCKbmEcFV,I Hope You Dance,I Hope You Dance,61.0,N,2000-01-01,0.388,0.443,-9.627,0.0295,0.0632,0.0,0.0898,0.276,7.0,0.0,151.071,294533.0
Small Town Boy,Brandon Lay,Country,7mS200vKsSSVgrbMxWza54,Small Town Boy,Current Mood,65.0,N,2017-09-08,0.555,0.744,-6.016,0.0287,0.0251,0.0,0.359,0.673,9.0,1.0,73.012,205733.0
"Forever and Ever, Amen",Randy Travis,Country,1ipcb9qXpSHWhSUvdxJhsx,"Forever and Ever, Amen",Always & Forever,71.0,N,1987-05-04,0.677,0.724,-8.992,0.0245,0.143,0.000101,0.158,0.697,2.0,1.0,90.392,212640.0
Blue Ain't Your Color,Keith Urban,Country,6wycnu8FWXsj68ig7BEot9,Blue Ain't Your Color,Ripcord,65.0,N,2016-05-06,0.69,0.416,-7.865,0.0335,0.617,1.37e-06,0.102,0.479,7.0,1.0,82.45,230600.0
The House That Built Me,Miranda Lambert,Country,02eD9ymfJOJOhM97HYp5R9,The House That Built Me,Revolution,63.0,N,2009-09-24,0.525,0.3,-8.005,0.0286,0.578,8.3e-06,0.116,0.206,5.0,1.0,80.993,236627.0
Dirt Road Anthem,Jason Aldean,Country,5ZVGvay4xwgXMnQWffNYeU,Dirt Road Anthem,My Kinda Party,70.0,N,2010-11-02,0.68,0.74,-5.064,0.0355,0.342,1.81e-06,0.117,0.644,2.0,1.0,127.024,229400.0
Take a Back Road,Rodney Atkins,Country,7B6m8tHAYZsOKOKMU5SR2n,Take A Back Road,Take A Back Road,69.0,N,2011-10-04,0.581,0.856,-4.0,0.0783,0.183,0.0,0.0871,0.918,3.0,1.0,169.902,209427.0
Highway Don't Care,Tim McGraw ft. Taylor Swift,Country,4wFUdSCer8bdQsrp1M90sa,Highway Don't Care,Two Lanes Of Freedom,64.0,Y,2013-01-01,0.47,0.79,-5.352,0.039,0.0216,0.0,0.0863,0.495,2.0,1.0,158.061,276880.0
Life Is a Highway,Tom Cochrane,Country,0hKF8N8aflF1uDzEEnPr2j,Life Is A Highway,Mad Mad World,57.0,N,1992,0.683,0.751,-10.184,0.0346,0.0681,8.36e-06,0.248,0.841,5.0,1.0,103.036,266560.0
Here's a Quarter (Call Someone Who Cares),Travis Tritt,Country,6BTCpaBTxlqGMOl0P6hvvX,Here's a Quarter (Call Someone Who Cares),It's All About to Change,61.0,N,1991,0.648,0.572,-7.494,0.026,0.304,0.0,0.131,0.598,7.0,1.0,112.423,152333.0
Should've Been a Cowboy,Toby Keith,Country,4TJUS843fKiqqIzycM74Oy,Should've Been A Cowboy,Toby Keith,74.0,N,1993-04-20,0.618,0.672,-7.92,0.0353,0.441,1.49e-06,0.214,0.705,7.0,1.0,133.439,211307.0
The Fighter,Keith Urban ft. Carrie Underwood,Country,49IMQ82VCAJfSnjTBJAgim,The Fighter (made popular by Keith Urban ft. Carrie Underwood) [vocal version],Country Party Pack 6 - Party Tyme (Vocal Versions),0.0,N,2024-02-16,0.733,0.645,-8.828,0.0414,0.0131,0.0,0.0977,0.874,11.0,0.0,131.95,182891.0
Colder Weather,Zac Brown Band,Country,3U8dHeggJ8IBe0UCb1gbyB,Colder Weather,You Get What You Give,67.0,N,2010-09-20,0.667,0.381,-7.494,0.0294,0.455,0.0,0.116,0.199,3.0,1.0,135.975,273893.0
God's Country,Blake Shelton,Country,1dyxS3YzBbL0t8rEVwVQ1K,God's Country,God's Country,65.0,N,2019-03-29,0.538,0.752,-5.106,0.0396,0.0608,5.39e-06,0.118,0.217,10.0,1.0,139.984,205107.0
Meant to Be,Bebe Rexha ft. Florida Georgia Line,Country,2RLzjZpG94NiopjdmihQlX,Meant To Be (made popular by Bebe Rexha ft. Florida Georgia Line) [vocal version],Country Party Pack 7 - Party Tyme (Vocal Versions),0.0,N,2024-02-16,0.664,0.74,-9.739,0.122,0.179,0.0,0.129,0.542,10.0,1.0,76.945,163200.0
Every Rose Has Its Thorn,Poison,Country,5qaSekPPKHIEA1Yn0qkCaC,Every Rose Has Its Thorn,Open Up And Say . . . Ahh!,56.0,N,1988-05-03,0.453,0.703,-5.562,0.0367,0.234,1.78e-06,0.374,0.339,6.0,1.0,140.264,260224.0
Just to See You Smile,Tim McGraw,Country,2op0kDNARK2VHWHntEeH4g,Just To See You Smile,Everywhere,65.0,N,1997-06-03,0.492,0.823,-8.526,0.0297,0.127,0.0,0.0523,0.702,6.0,1.0,94.342,215173.0
On the Road Again,Willie Nelson,Country,3MpK9vnxxgYvh0CNeGvx6G,On the Road Again,Forrest Gump - The Soundtrack,51.0,N,2001-10-02,0.731,0.716,-7.962,0.0417,0.687,0.000882,0.597,0.777,4.0,1.0,111.281,148107.0
