Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Strobe,Deadmau5,Electronic,6UGKKxOoUYoq9gL9J49d4p,Strobe - Layton Giordani Remix,Strobe - Layton Giordani Remix,49.0,Y,2024-09-13,0.661,0.95,-6.621,0.0402,0.00476,0.87,0.104,0.182,6.0,0.0,127.994,215156.0
Titanium,David Guetta ft. Sia,Electronic,4oB0FiIff4FcjApbrhDMbi,Titanium (made popular by David Guetta ft. Sia) [vocal version],Pop Party Pack 5 - Party Tyme (Vocal Versions),8.0,N,2024-02-16,0.703,0.527,-9.078,0.0579,0.333,0.000161,0.619,0.352,0.0,0.0,126.041,241082.0
Animals,Martin Garrix,Electronic,1xMLthTaWJieT9YGV1hyS5,Animals,Gold Skies,57.0,N,2014-07-01,0.676,0.865,-6.381,0.0389,0.00105,0.648,0.382,0.0372,1.0,1.0,128.006,303773.0
Wake Me Up,Avicii,Electronic,0nrRP2bk19rLc0orkWPQk2,Wake Me Up,True,84.0,N,2013-01-01,0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,2.0,1.0,124.08,247427.0
Sandstorm,Darude,Electronic,6Sy9BUbgFse0n0LPA5lwy5,Sandstorm,"Before the Storm, Special Edition",69.0,N,2001-01-01,0.528,0.965,-7.984,0.0465,0.141,0.985,0.0797,0.587,11.0,0.0,136.065,225493.0
Scary Monsters and Nice Sprites,Skrillex,Electronic,4rwpZEcnalkuhPyGkEdhu0,Scary Monsters and Nice Sprites,Scary Monsters and Nice Sprites EP,57.0,N,2010-12-21,0.523,0.944,-3.581,0.0837,0.00336,0.557,0.119,0.324,7.0,0.0,139.997,243354.0
Get Lucky,Daft Punk ft. Pharrell Williams,Electronic,2jyjdujFPnzqtCr3229yls,Get Lucky (Drumless Edition) (ft. Pharrell Williams and Nile Rodgers),Random Access Memories (Drumless Edition),35.0,Y,2023-11-17,0.854,0.578,-10.602,0.0452,0.358,0.0,0.0861,0.845,6.0,0.0,116.052,369747.0
Lean On,Major Lazer & DJ Snake ft. MØ,Electronic,2IADzcRR2gs5hK1LJxZeYS,Lean On (Originally Performed by Major Lazer & DJ Snake Ft. Mø),EDM 2016: The Collection,2.0,N,2016-01-08,0.698,0.716,-7.327,0.0581,0.00328,0.000143,0.104,0.117,7.0,0.0,98.019,176000.0
I Remember,Deadmau5 & Kaskade,Electronic,3zFsJdVCu29em7VUB3Ujqp,I Remember - John Summit Remix,I Remember (John Summit Remix),56.0,Y,2023-07-07,0.531,0.855,-6.722,0.0335,0.00616,0.482,0.191,0.117,7.0,1.0,126.018,240000.0
Don't You Worry Child,Swedish House Mafia ft. John Martin,Electronic,0lalFhB5C5Q1XFvJ7oPV0t,Don't You Worry Child (In the Style of Swedish House Mafia Ftg. John Martin) [Karaoke Version],"Karaoke - Hits for 2010's, Vol. 4",5.0,N,2013-05-20,0.542,0.769,-11.462,0.0294,0.0428,0.661,0.247,0.427,11.0,0.0,128.997,221000.0
Clarity,Zedd ft. Foxes,Electronic,0vx5IpVUDhx9DB28UhxSVz,Clarity (made popular by Zedd ft. Foxes) [vocal version],Pop Party Pack 6 - Party Tyme (Vocal Versions),2.0,N,2024-02-16,0.524,0.663,-10.093,0.0531,0.00226,5.68e-06,0.148,0.246,5.0,0.0,128.079,267899.0
Bad Guy,Billie Eilish,Electronic,2Fxmhks0bxGSBdJ92vM42m,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",80.0,N,2019-03-29,0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,7.0,1.0,135.128,194088.0
Roses,SAINt JHN,Electronic,47MhyGA0XUtF9lZJtny3Pd,Roses,Collection One,56.0,N,2018-03-30,0.782,0.5,-6.473,0.0611,0.342,1.88e-05,0.133,0.28,5.0,0.0,102.008,173611.0
We Found Love,Rihanna ft. Calvin Harris,Electronic,5HMiF48eiKHttTtSGg7XPb,We Found Love (Originally Performed by Rihanna Ft. Calvin Harris) - Karaoke Version,We Found Love,2.0,N,2013-01-22,0.783,0.918,-7.143,0.0427,0.00216,0.874,0.0673,0.395,3.0,0.0,128.027,216032.0
Where Are Ü Now,Jack Ü ft. Justin Bieber,Electronic,66hayvUbTotekKU3H4ta1f,Where Are Ü Now (with Justin Bieber),Skrillex and Diplo present Jack Ü,72.0,Y,2015-02-24,0.432,0.781,-4.038,0.0567,0.041,4.21e-06,0.0789,0.197,4.0,0.0,139.432,250286.0
Tremor,Dimitri Vegas & Like Mike vs. Ummet Ozcan,Electronic,6AE0G24YXnDyEgE4L0efpB,Tremor - Sensation 2014 Anthem,Gold Skies,52.0,Y,2014-07-01,0.631,0.939,-4.21,0.0363,0.000351,0.747,0.955,0.452,6.0,0.0,127.992,294467.0
One More Time,Daft Punk,Electronic,0DiWol3AO6WpXZgp0goxAV,One More Time,Discovery,75.0,N,2001-03-12,0.613,0.697,-8.618,0.133,0.0194,0.0,0.332,0.476,2.0,1.0,122.746,320357.0
Take Over Control,Afrojack ft. Eva Simons,Electronic,1MWCOyHXbgynYT836nO8WT,Take Over Control Ft Eva Simons - Adam F Remix,Elements,4.0,Y,2012-07-30,0.544,0.874,-3.852,0.0326,2.63e-05,0.486,0.103,0.156,0.0,0.0,139.961,217653.0
Turn Down for What,DJ Snake & Lil Jon,Electronic,67awxiNHNyjMXhVgsHuIrs,Turn Down for What,Turn Down for What,69.0,Y,2013-12-18,0.818,0.799,-4.1,0.156,0.00107,0.128,0.057,0.0815,1.0,0.0,100.014,213733.0
Sweet Disposition,The Temper Trap,Electronic,6bUAaVkmBr9xrsWkeTLu03,Sweet Disposition,Conditions,66.0,N,2009,0.53,0.801,-7.27,0.0424,0.0725,0.198,0.116,0.314,2.0,1.0,129.109,236467.0
I Got U,Duke Dumont ft. Jax Jones,Electronic,4BMgiyh9doA47OwEKWe83C,I Got U (Originally Performed by Duke Dumont Ft. Jax Jones) - Instrumental Version,Karaoke Picks - Tropical & Deep House Vol. 1,0.0,N,2016-05-20,0.72,0.588,-9.429,0.0369,0.0144,0.568,0.0762,0.174,9.0,0.0,120.777,210913.0
Summer,Calvin Harris,Electronic,6YUTL4dYpB9xZO5qExPf05,Summer,Motion,83.0,N,2014-10-31,0.596,0.856,-3.556,0.0346,0.0211,0.0178,0.141,0.743,4.0,0.0,127.949,222533.0
Starships,Nicki Minaj,Electronic,1oHNvJVbFkexQc0BpQp7Y4,Starships,Pink Friday ... Roman Reloaded,73.0,N,2011-01-01,0.747,0.716,-2.457,0.0751,0.135,0.0,0.251,0.751,11.0,0.0,125.006,210627.0
Electric Feel,MGMT,Electronic,3FtYbEfBqAlGO46NUDQSAt,Electric Feel,Oracular Spectacular,79.0,N,2007-12-14,0.763,0.803,-3.713,0.0351,0.0709,0.285,0.348,0.561,1.0,1.0,103.04,229640.0
Go!,The Chemical Brothers,Electronic,2Xhd1kYKj2aee7JR3nIlRe,Go,Born In The Echoes,45.0,N,2015-07-10,0.751,0.897,-3.598,0.0468,0.00957,2.88e-05,0.329,0.482,1.0,1.0,119.97,260697.0
Waiting All Night,Rudimental ft. Ella Eyre,Electronic,5S5W996afsb4hdpziG8hoV,Waiting All Night (made popular by Rudimental ft. Ella Eyre) [backing version],Dance & Disco Hits 5 - Party Tyme (Backing Versions),0.0,N,2023-09-08,0.466,0.706,-10.798,0.0441,0.0157,0.884,0.241,0.212,6.0,0.0,175.001,292478.0
Hideaway,Kiesza,Electronic,0c6xIDDpzE81m2q797ordA,Hideaway,Sound Of A Woman,50.0,N,2014-10-21,0.838,0.72,-4.135,0.0483,0.0862,0.00697,0.0772,0.204,7.0,0.0,122.99,251987.0
Firestone,Kygo ft. Conrad Sewell,Electronic,0NIVwE0udC7Fo7at0yoANX,Firestone (made popular by Kygo ft. Conrad Sewell) [backing version],Pop Male Hits 3 - Party Tyme (Backing Versions),1.0,N,2024-05-10,0.656,0.571,-10.241,0.032,0.165,0.814,0.0698,0.324,11.0,0.0,114.005,273070.0
You Don't Know Me,Armand Van Helden ft. Duane Harden,Electronic,7BpyfQEmvi0sUmOq29plEE,You Don't Know Me (feat. Duane Harden) - Radio Edit,You Don't Know Me (feat. Duane Harden),62.0,Y,1998-01-01,0.772,0.682,-6.919,0.0701,0.0461,0.00285,0.0672,0.868,10.0,1.0,129.978,242333.0
Pjanoo,Eric Prydz,Electronic,0EzVcavTFL5YEj0945ifIi,Pjanoo - Radio Edit,Pjanoo,45.0,N,2008,0.604,0.878,-4.956,0.0295,0.000555,0.827,0.107,0.838,7.0,0.0,125.986,157427.0
