Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Lose Yourself,Eminem,Hip Hop,5Z01UMMf7V1o0MzF86s6WJ,Lose Yourself,Curtain Call: The Hits (Deluxe Edition),77.0,N,2005-12-06,0.692,0.744,-4.565,0.257,0.00868,0.000423,0.359,0.0612,2.0,1.0,171.374,326467.0
Juicy,The Notorious B.I.G.,Hip Hop,2AP7m2dBb8ULTx4Gc1rdMc,Juicy,Greatest Hits,56.0,N,2007-03-02,0.887,0.767,-4.311,0.295,0.38,0.0,0.0527,0.607,9.0,1.0,97.437,285760.0
C.R.E.A.M.,Wu-Tang Clan,Hip Hop,119c93MHjrDLJTApCVGpvx,C.R.E.A.M. (Cash Rules Everything Around Me),Enter The Wu-Tang (36 Chambers) [Expanded Edition],72.0,N,1993-11-09,0.512,0.514,-11.562,0.387,0.555,0.00958,0.126,0.565,11.0,0.0,181.033,252027.0
Nuthin' but a 'G' Thang,Dr. Dre ft. Snoop Dogg,Hip Hop,5Tbpp3OLLClPJF8t1DmrFD,"Nuthin' But A ""G"" Thang",The Chronic,76.0,Y,1992-12-15,0.669,0.821,-4.37,0.29,0.00182,0.0,0.147,0.684,11.0,0.0,94.895,237573.0
HUMBLE.,Kendrick Lamar,Hip Hop,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,DAMN.,84.0,N,2017-04-14,0.908,0.621,-6.638,0.102,0.000282,5.39e-05,0.0958,0.421,1.0,0.0,150.011,177000.0
"Shook Ones, Pt. II",Mobb Deep,Hip Hop,33ZXjLCpiINn8eQIDYEPTD,"Shook Ones, Pt. II",The Infamous,74.0,N,1995-04-25,0.763,0.786,-6.472,0.229,0.0146,0.0114,0.0817,0.504,10.0,0.0,93.857,325507.0
Straight Outta Compton,N.W.A,Hip Hop,6KIKRz9eSTXdNsGUnomdtW,Straight Outta Compton,Straight Outta Compton,69.0,N,1988-08-08,0.834,0.878,-9.484,0.15,0.0461,0.0,0.334,0.418,8.0,1.0,102.848,258688.0
Fight The Power,Public Enemy,Hip Hop,1yo16b3u0lptm6Cs7lx4AD,Fight The Power,Fear Of A Black Planet,52.0,N,1990-04-10,0.797,0.582,-12.97,0.255,0.00484,2.04e-06,0.517,0.415,2.0,1.0,105.974,282640.0
Big Pimpin',JAY-Z ft. UGK,Hip Hop,7m97yKVzPpXV9Z4ezEziOD,Big Pimpin',Vol. 3... Life And Times Of S. Carter,66.0,Y,1999-12-28,0.88,0.814,-6.307,0.14,0.168,0.00672,0.0584,0.942,11.0,0.0,138.083,283067.0
Gin and Juice,Snoop Dogg,Hip Hop,39QBkWKnap8wRSW4WB9OK0,Gin and Juice,Doggystyle,72.0,N,1993-11-23,0.603,0.762,-7.744,0.285,0.0953,1.53e-05,0.478,0.379,4.0,0.0,94.726,211867.0
