Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
So What,Miles Davis,Jazz,3mZ33QYHWylbabTz82rHwj,So What,Pleasantville -Music From The Motion Picture,27.0,N,1998-10-13,0.505,0.189,-16.352,0.0363,0.785,0.00974,0.112,0.236,2.0,1.0,137.378,544667.0
Take Five,Dave Brubeck,Jazz,1YQWosTIljIvxAgHWTp7KP,Take Five,Time Out,68.0,N,1959-12-14,0.454,0.26,-13.193,0.0401,0.539,0.00078,0.0675,0.598,8.0,0.0,174.322,324133.0
My Favorite Things,John Coltrane,Jazz,3ZikLQCnH3SIswlGENBcKe,My Favorite Things,My Favorite Things,44.0,N,1961,0.277,0.242,-18.442,0.0342,0.694,0.464,0.113,0.285,4.0,1.0,175.384,824133.0
"Sing, Sing, Sing",Benny Goodman,Jazz,5L8ta4ECl5zeA6bGqY7G38,"Sing, Sing, Sing",The Essential Benny Goodman,48.0,N,2007-05-22,0.62,0.67,-11.575,0.0591,0.853,0.896,0.156,0.295,2.0,0.0,113.492,520293.0
"A Love Supreme, Pt. 1: Acknowledgement",John Coltrane,Jazz,0CLbmkYmQIWiEwnsbOkLpd,"A Love Supreme, Pt. I – Acknowledgement",A Love Supreme,48.0,N,1965-02,0.37,0.586,-13.468,0.0581,0.485,1.96e-06,0.348,0.519,5.0,0.0,121.573,462867.0
Round Midnight,Thelonious Monk,Jazz,1wl5b2lw3YagQtZiYZbQWP,'Round Midnight,"Genius Of Modern Music (Vol.1, Expanded Edition)",51.0,N,1951,0.542,0.32,-9.975,0.0387,0.907,0.649,0.0609,0.206,8.0,1.0,116.648,193840.0
What a Wonderful World,Louis Armstrong,Jazz,29U7stRjqHU6rMiS8BfaI9,What A Wonderful World,What A Wonderful World,77.0,N,1968-01-01,0.271,0.165,-20.652,0.0351,0.726,1.54e-06,0.118,0.202,5.0,1.0,77.082,139227.0
In a Sentimental Mood,Duke Ellington & John Coltrane,Jazz,0E8q2Fx2XuzXCO2NSAppkR,In A Sentimental Mood,Duke Ellington & John Coltrane,65.0,Y,1963-02,0.464,0.305,-12.435,0.0316,0.936,0.0848,0.208,0.281,3.0,0.0,107.854,255227.0
Blue in Green,Miles Davis,Jazz,0aWMVrwxPNYkKmFthzmpRi,Blue in Green (feat. John Coltrane & Bill Evans),Kind Of Blue (Legacy Edition),62.0,Y,1959-08-17,0.421,0.0162,-25.358,0.0388,0.808,0.0024,0.0978,0.154,2.0,0.0,110.479,337733.0
Feeling Good,Nina Simone,Jazz,6Rqn2GFlmvmV4w9Ala0I1e,Feeling Good,I Put A Spell On You,74.0,N,1965-06-01,0.451,0.326,-9.239,0.0372,0.863,0.0,0.192,0.55,7.0,0.0,81.726,174000.0
