Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Billie Jean,Michael Jackson,Pop,5ChkMS8OtdzJeqyybCc9R5,Billie Jean,Thriller 25 Super Deluxe Edition,77.0,N,2008-02-08,0.92,0.654,-3.051,0.0401,0.0236,0.0153,0.036,0.847,11.0,0.0,117.046,293827.0
Like a Prayer,Madonna,Pop,1z3ugFmUKoCzGsI6jdY4Ci,Like a Prayer,Celebration (double disc version),76.0,N,2009-09-18,0.625,0.842,-5.285,0.0376,0.264,2.12e-05,0.181,0.26,5.0,1.0,111.038,342680.0
...Baby One More Time,Britney Spears,Pop,3MjUtNVVq3C8Fn0MP3zhXa,...Baby One More Time,...Baby One More Time (Digital Deluxe Version),82.0,N,1999-01-12,0.759,0.699,-5.745,0.0307,0.202,0.000131,0.443,0.907,0.0,0.0,92.96,211067.0
Single Ladies (Put a Ring on It),Beyoncé,Pop,5R9a4t5t5O0IsznsrKPVro,Single Ladies (Put a Ring on It),I AM...SASHA FIERCE,65.0,N,2008-11-17,0.426,0.584,-5.293,0.296,0.0383,0.0,0.188,0.272,1.0,1.0,193.437,193213.0
Bad Romance,Lady Gaga,Pop,0SiywuOBRcynK0uKGWdCnn,Bad Romance,The Fame Monster (Deluxe Edition),82.0,N,2009-11-05,0.695,0.921,-3.752,0.0363,0.00314,5.26e-05,0.0842,0.714,0.0,1.0,119.007,294573.0
Shape of You,Ed Sheeran,Pop,7qiZfU4dY1lWllzX7mPBI3,Shape of You,÷ (Deluxe),85.0,N,2017-03-03,0.825,0.652,-3.183,0.0802,0.581,0.0,0.0931,0.931,1.0,0.0,95.977,233713.0
Rolling in the Deep,Adele,Pop,1c8gk2PeTE04A1pIDH9YMk,Rolling in the Deep,21,78.0,N,2011-01-24,0.73,0.769,-5.114,0.0298,0.138,0.0,0.0473,0.507,8.0,1.0,104.948,228093.0
Uptown Funk,Mark Ronson ft. Bruno Mars,Pop,1YILIKjno1jrlDhPDmAZtO,Uptown Funk (made popular by Mark Ronson ft. Bruno Mars) [vocal version],Pop Party Pack 6 - Party Tyme (Vocal Versions),4.0,N,2024-02-16,0.867,0.529,-8.916,0.0827,0.0261,0.000229,0.0689,0.909,0.0,1.0,115.042,273270.0
Blinding Lights,The Weeknd,Pop,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,After Hours,88.0,N,2020-03-20,0.513,0.73,-5.94,0.0598,0.00143,9.54e-05,0.0897,0.334,1.0,1.0,171.001,200040.0
Roar,Katy Perry,Pop,6F5c58TMEs1byxUstkzVeM,Roar,PRISM (Deluxe),70.0,N,2013-10-18,0.671,0.771,-4.821,0.0316,0.00492,7.28e-06,0.354,0.436,7.0,0.0,90.003,223546.0
Toxic,Britney Spears,Pop,6I9VzXrHxO9rA9A5euc8Ak,Toxic,In The Zone,84.0,N,2003-11-13,0.774,0.838,-3.914,0.114,0.0249,0.025,0.242,0.924,5.0,0.0,143.04,198800.0
Sorry,Justin Bieber,Pop,09CtPGIpYB4BrO8qb1RGsF,Sorry,Purpose (Deluxe),83.0,N,2015-11-13,0.655,0.76,-3.669,0.045,0.0797,0.0,0.299,0.409,0.0,0.0,99.947,200787.0
Call Me Maybe,Carly Rae Jepsen,Pop,3TGRqZ0a2l1LRblBkJoaDx,Call Me Maybe,Kiss (Deluxe),72.0,N,2012-01-01,0.782,0.58,-6.548,0.0407,0.0114,2.28e-06,0.108,0.66,7.0,1.0,120.021,193400.0
Havana,Camila Cabello ft. Young Thug,Pop,3siJqmSkeHD5QCo4babUsb,Havana (made popular by Camila Cabello ft. Young Thug) [vocal version],Pop Female Hits 3 - Party Tyme (Vocal Versions),3.0,N,2024-05-31,0.749,0.446,-8.418,0.0318,0.211,0.00178,0.182,0.571,7.0,0.0,104.966,214966.0
Firework,Katy Perry,Pop,4lCv7b86sLynZbXhfScfm2,Firework,Teenage Dream: The Complete Confection,70.0,N,2012-03-12,0.639,0.826,-4.968,0.0479,0.139,0.0,0.0803,0.648,8.0,1.0,124.075,227880.0
