Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Juicy,The Notorious B.I.G.,Rap,2AP7m2dBb8ULTx4Gc1rdMc,Juicy,Greatest Hits,56.0,N,2007-03-02,0.887,0.767,-4.311,0.295,0.38,0.0,0.0527,0.607,9.0,1.0,97.437,285760.0
Nuthin' but a 'G' Thang,Dr. Dre ft. Snoop Dogg,Rap,5Tbpp3OLLClPJF8t1DmrFD,"Nuthin' But A ""G"" Thang",The Chronic,76.0,Y,1992-12-15,0.669,0.821,-4.37,0.29,0.00182,0.0,0.147,0.684,11.0,0.0,94.895,237573.0
Lose Yourself,Eminem,Rap,5Z01UMMf7V1o0MzF86s6WJ,Lose Yourself,Curtain Call: The Hits (Deluxe Edition),77.0,N,2005-12-06,0.692,0.744,-4.565,0.257,0.00868,0.000423,0.359,0.0612,2.0,1.0,171.374,326467.0
C.R.E.A.M.,Wu-Tang Clan,Rap,119c93MHjrDLJTApCVGpvx,C.R.E.A.M. (Cash Rules Everything Around Me),Enter The Wu-Tang (36 Chambers) [Expanded Edition],72.0,N,1993-11-09,0.512,0.514,-11.562,0.387,0.555,0.00958,0.126,0.565,11.0,0.0,181.033,252027.0
The Message,Grandmaster Flash and the Furious Five,Rap,5DuTNKFEjJIySAyJH1yNDU,The Message (feat. Melle Mel & Duke Bootee),The Message,48.0,Y,1982-10-01,0.947,0.607,-10.58,0.202,0.0249,4.76e-06,0.0861,0.732,10.0,0.0,100.619,431800.0
California Love,2Pac ft. Dr. Dre,Rap,4DLVB91nzswc4wD7EchmXs,"California Love (remix) (ft. Dr. Dre, Roger Troutman) - Remix",All Eyez On Me,50.0,Y,1996-02-13,0.635,0.844,-4.2,0.0741,0.00671,0.0,0.487,0.649,5.0,1.0,91.652,385880.0
Fight the Power,Public Enemy,Rap,1yo16b3u0lptm6Cs7lx4AD,Fight The Power,Fear Of A Black Planet,52.0,N,1990-04-10,0.797,0.582,-12.97,0.255,0.00484,2.04e-06,0.517,0.415,2.0,1.0,105.974,282640.0
Empire State of Mind,Jay-Z ft. Alicia Keys,Rap,1xBIJNQdR1x7lWS7IIwYxV,Empire State of Mind - Piano rendition of Jay-Z ft. Alicia Keys,R&B Lullaby Piano for Babies,27.0,N,2024-07-12,0.579,0.357,-16.082,0.076,0.995,0.955,0.194,0.641,6.0,1.0,78.367,134973.0
Straight Outta Compton,N.W.A.,Rap,6KIKRz9eSTXdNsGUnomdtW,Straight Outta Compton,Straight Outta Compton,69.0,N,1988-08-08,0.834,0.878,-9.484,0.15,0.0461,0.0,0.334,0.418,8.0,1.0,102.848,258688.0
99 Problems,Jay-Z,Rap,7sLpSWxQazJzDVG6YGzlVs,99 Problems,The Black Album,62.0,N,2003-11-14,0.494,0.887,-4.297,0.398,0.00661,0.0,0.103,0.548,6.0,0.0,89.554,234627.0
