Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Superstition,Stevie Wonder,R&B,4N0TP4Rmj6QQezWV88ARNJ,Superstition,Talking Book,63.0,N,1972-10-28,0.611,0.578,-14.171,0.0676,0.0598,0.0219,0.0983,0.884,1.0,1.0,100.625,266133.0
What's Going On,Marvin Gaye,R&B,3Um9toULmYFGCpvaIPFw7l,What's Going On,What's Going On,67.0,N,1971-05-21,0.283,0.716,-9.632,0.0986,0.447,0.0,0.399,0.828,1.0,0.0,201.96,233000.0
Respect,Aretha Franklin,R&B,7s25THrKz86DM225dOYwnr,Respect,I Never Loved a Man the Way I Love You,75.0,N,1967-03-10,0.805,0.558,-5.226,0.041,0.164,2.2e-05,0.0546,0.965,0.0,1.0,114.95,147600.0
Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,R&B,7tqhbajSfrz2F7E1Z75ASX,Ain't No Mountain High Enough,United,84.0,Y,1967-08-29,0.663,0.6,-10.87,0.032,0.43,0.0,0.184,0.797,7.0,1.0,129.987,151667.0
I Will Always Love You,Whitney Houston,R&B,4eHbdreAnSOrDDsFfc4Fpm,I Will Always Love You,The Bodyguard - Original Soundtrack Album,77.0,N,1992-11-17,0.332,0.214,-12.518,0.0349,0.845,5.62e-06,0.0839,0.11,4.0,1.0,67.531,271093.0
I Want You Back,The Jackson 5,R&B,5LxvwujISqiB8vpRYv887S,I Want You Back,Diana Ross Presents The Jackson 5,75.0,N,1969-12-18,0.469,0.538,-13.559,0.0575,0.305,0.000114,0.37,0.885,8.0,1.0,196.606,176333.0
Crazy in Love,Beyoncé ft. Jay-Z,R&B,093pgg3k5xpZRpS5NKesyU,Crazy In Love (Beyonce ft. Jay-Z) - Karaoke Version,Karaoke Bash: Top Hits,3.0,N,2004,0.58,0.747,-8.84,0.141,0.000484,0.579,0.1,0.845,2.0,0.0,198.765,253907.0
Let's Stay Together,Al Green,R&B,63xdwScd1Ai1GigAwQxE8y,Let's Stay Together,Let's Stay Together,75.0,N,1972,0.756,0.401,-10.702,0.0526,0.582,0.011,0.0541,0.514,7.0,0.0,101.954,199396.0
No Scrubs,TLC,R&B,1KGi9sZVMeszgZOWivFpxs,No Scrubs,Fanmail,82.0,N,1999-02-23,0.743,0.675,-4.267,0.0953,0.0251,0.000717,0.0685,0.59,8.0,0.0,92.909,214400.0
Adorn,Miguel,R&B,25cUhiAod71TIQSNicOaW3,Adorn,Kaleidoscope Dream,70.0,N,2012-09-28,0.625,0.576,-5.693,0.175,0.0543,4.07e-05,0.187,0.235,11.0,0.0,179.063,193147.0
Back to Black,Amy Winehouse,R&B,30FURVTCpbKyykjSEQzGkH,Back To Black,Back To Black,70.0,N,2006-10-27,0.49,0.725,-3.304,0.0392,0.123,2.68e-05,0.0983,0.335,10.0,1.0,123.28,240440.0
Un-break My Heart,Toni Braxton,R&B,5Ihd9HrPvOADyVoonH9ZjB,Un-Break My Heart,Secrets,69.0,N,1996-06-18,0.625,0.426,-8.4,0.0271,0.412,0.0,0.116,0.112,2.0,0.0,110.021,270333.0
Ordinary People,John Legend,R&B,2ZA4uMlSZjaoWGFqP1tsLI,Ordinary People,Get Lifted,62.0,N,2005-12-06,0.469,0.132,-14.001,0.0798,0.928,0.0,0.0873,0.36,10.0,1.0,66.989,281467.0
Try Again,Aaliyah,R&B,0EvX3wUXm0Xds8ZTA7oXOJ,Try Again,Aaliyah,59.0,N,2001-07-07,0.794,0.662,-4.913,0.249,0.0789,0.0,0.0938,0.683,6.0,0.0,93.053,284640.0
No Diggity,Blackstreet ft. Dr. Dre,R&B,1IRvMomMM57s67Fjzd8Dhs,No Diggity (made popular by Blackstreet ft. Dr Dre) [backing version],R&B Male Hits 6 - Party Tyme - Backing Versions,2.0,N,2023-09-15,0.857,0.563,-6.723,0.0637,0.198,0.06,0.0704,0.34,7.0,1.0,88.997,249341.0
End of the Road,Boyz II Men,R&B,3l3xTXsUXeWlkPqzMs7mPD,End Of The Road,Cooleyhighharmony (Bonus Tracks Version),69.0,N,1991-04-30,0.641,0.428,-9.29,0.024,0.0666,0.0,0.0579,0.53,5.0,0.0,149.705,351467.0
We Belong Together,Mariah Carey,R&B,3LmvfNUQtglbTrydsdIqFU,We Belong Together,The Emancipation of Mimi,70.0,N,2005-04-12,0.833,0.467,-7.89,0.0619,0.0339,0.0,0.09,0.767,0.0,1.0,139.971,201400.0
Say My Name,Destiny's Child,R&B,7H6ev70Weq6DdpZyyTmUXk,Say My Name,The Writing's On The Wall,79.0,N,1999-07-27,0.713,0.678,-3.525,0.102,0.273,0.0,0.149,0.734,5.0,0.0,138.009,271333.0
Pony,Ginuwine,R&B,6mz1fBdKATx6qP4oP1I65G,Pony,R&B: From Doo-Wop To Hip-Hop,69.0,N,1999-10-08,0.749,0.605,-9.359,0.086,0.00186,0.0381,0.115,0.966,8.0,0.0,142.024,251733.0
The Boy Is Mine,Brandy & Monica,R&B,6sHsXIJoEN5JpdkGMQDJxt,The Boy Is Mine,Never Say Never,73.0,Y,1998-05-29,0.704,0.707,-6.537,0.0391,0.539,0.00106,0.318,0.761,1.0,0.0,93.145,294787.0
Untitled (How Does It Feel),D'Angelo,R&B,4oPNN7syJYSjzDhRerF966,Untitled (How Does It Feel),Voodoo,57.0,N,2000-01-01,0.838,0.304,-9.975,0.0626,0.16,0.0267,0.0828,0.221,4.0,0.0,112.618,430800.0
All My Life,K-Ci & JoJo,R&B,5GorFaKkP2mLREQvhSblIg,All My Life,Love Always,68.0,N,1997-01-01,0.634,0.512,-8.651,0.0285,0.114,3.91e-06,0.0588,0.193,1.0,1.0,128.019,331240.0
Rock the Boat,Aaliyah,R&B,7vVJ8Wom7dKf13dgNiBYtU,Rock The Boat,Aaliyah,55.0,N,2001-07-07,0.637,0.725,-5.073,0.0333,0.0702,0.00438,0.203,0.415,5.0,1.0,92.99,274733.0
Kiss,Prince,R&B,62LJFaYihsdVrrkgUOJC05,Kiss,Parade - Music from the Motion Picture Under the Cherry Moon,73.0,N,1986-03-31,0.898,0.271,-12.238,0.091,0.0135,0.00138,0.0461,0.742,7.0,1.0,111.485,226240.0
On & On,Erykah Badu,R&B,0tNuJpBgtE65diL6Q8Q7fI,On & On,Baduizm,68.0,N,1997-01-01,0.761,0.403,-10.424,0.158,0.0392,0.0113,0.256,0.346,11.0,0.0,80.476,226133.0
If I Ain't Got You,Alicia Keys,R&B,3XVBdLihbNbxUwZosxcGuJ,If I Ain't Got You,The Diary Of Alicia Keys,83.0,N,2003-12-02,0.609,0.444,-9.129,0.106,0.603,6.86e-06,0.104,0.166,7.0,1.0,118.402,228707.0
"Do Right Woman, Do Right Man",Aretha Franklin,R&B,6cLEpgDcEldV1n9gusHQUX,"Do Right Woman, Do Right Man",I Never Loved a Man the Way I Love You,48.0,N,1967-03-10,0.668,0.284,-10.192,0.0413,0.706,0.0,0.131,0.491,9.0,1.0,134.911,196640.0
Bump n' Grind,R. Kelly,R&B,0DBIL8arX0Zo6eAuxNIpik,Bump n' Grind,12 Play,56.0,N,1993-11-07,0.621,0.481,-8.016,0.0371,0.0984,0.0,0.241,0.679,11.0,1.0,65.004,256133.0
Remember the Time,Michael Jackson,R&B,4jnFqNWeJCeCRHc4HCdxfd,Remember the Time,Dangerous,72.0,N,1991-11-13,0.831,0.921,-2.383,0.0582,0.153,0.00224,0.305,0.795,5.0,0.0,108.002,239227.0
Can We Talk,Tevin Campbell,R&B,6a5jHgwqYMk9wlYJYfs3c9,Can We Talk,The Best of Tevin Campbell,60.0,N,2001,0.658,0.711,-7.424,0.0425,0.0759,1.77e-05,0.0446,0.614,2.0,0.0,172.365,284587.0
I Believe I Can Fly,R. Kelly,R&B,2RzJwBCXsS1VnjDm2jKKAa,I Believe I Can Fly,R.,58.0,N,1998-11-08,0.55,0.444,-7.588,0.0292,0.241,0.0,0.187,0.0438,7.0,1.0,120.179,320667.0
Waterfalls,TLC,R&B,6qspW4YKycviDFjHBOaqUY,Waterfalls,Crazysexycool,74.0,N,1994-11-15,0.769,0.505,-7.345,0.0829,0.311,7.49e-05,0.0777,0.757,1.0,1.0,171.804,279507.0
Back at One,Brian McKnight,R&B,6mwA6YiKDjAUG8kWvRRUPh,Back At One,Back At One,67.0,N,1999-09-21,0.66,0.347,-9.114,0.03,0.452,0.0,0.131,0.256,11.0,1.0,129.747,263667.0
Twist and Shout,The Isley Brothers,R&B,7iFdUmdqT9XrsJdSGf9KrX,Twist And Shout,Twist & Shout,50.0,N,2005,0.774,0.811,-6.526,0.0355,0.65,0.0,0.0736,0.963,5.0,1.0,123.354,155400.0
Ex-Factor,Lauryn Hill,R&B,2VjXGuPVVxyhMgER3Uz2Fe,Ex-Factor,The Miseducation of Lauryn Hill,74.0,N,1998-08-25,0.593,0.619,-9.003,0.0976,0.118,0.0,0.484,0.668,3.0,0.0,80.02,326533.0
Fallin',Alicia Keys,R&B,0KQx6HOpJueiSkztcS0r7D,Fallin',Songs In A Minor,77.0,N,2001-06-05,0.652,0.609,-7.519,0.037,0.263,0.00101,0.233,0.482,11.0,0.0,95.986,210200.0
