album_comments,album_favorites,album_listens,album_tracks,artist_comments,artist_favorites,track_bit_rate,track_comments,track_date_created,track_duration,track_favorites,track_interest,track_listens,track_number,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,artist_discovery,artist_familiarity,artist_hotttnesss,song_currency,song_hotttnesss,genre_top_isna,genre_top_name,genre_top_level_name,album_len,artist_len,track_title_len
0,4,6073,7,0,9,256000,0,2008-11-26 01:48:12,168,2,4656,1293,3,0.4166752327,0.6758939853,0.6344762684,0.0106280683,0.1776465712,0.1593100648,165.922,0.576660988,0.3889898648,0.38674,0.40637,0.0,0.0,False,Hip-Hop,Hip-Hop,20,4,4
0,4,6073,7,0,9,256000,0,2008-11-26 01:48:14,237,1,1470,514,4,0.3744077685,0.5286430621,0.8174611317,0.0018511032,0.1058799438,0.4618181276,126.957,0.2692402421,0.3889898648,0.38674,0.40637,0.0,0.0,False,Hip-Hop,Hip-Hop,20,4,12
0,4,6073,7,0,9,256000,0,2008-11-26 01:48:20,206,6,1933,1151,6,0.0435668989,0.7455658702,0.7014699916,0.000696799,0.3731433124,0.1245953419,100.26,0.6216612236,0.3889898648,0.38674,0.40637,0.0,0.0,False,Hip-Hop,Hip-Hop,20,4,10
0,4,47632,2,3,74,192000,0,2008-11-25 17:49:06,161,178,54881,50135,1,0.9516699648,0.6581786543,0.9245251615,0.9654270154,0.1154738842,0.0329852191,111.562,0.9635898919,0.5573390067,0.614272,0.798387,0.0051579926,0.354516,False,Pop,Pop,17,9,7
0,4,6073,7,0,9,256000,0,2008-11-26 01:43:19,207,3,1126,943,5,0.4522173071,0.5132380502,0.5604099311,0.0194426943,0.096566694,0.5255193792,114.29,0.8940722715,0.3889898648,0.38674,0.40637,0.0,0.0,False,Hip-Hop,Hip-Hop,20,4,12
0,1,1304,2,0,11,128000,0,2008-11-26 01:44:05,296,3,702,582,2,0.1065495253,0.2609111726,0.6070668636,0.8350869898,0.2236762711,0.0305692764,196.961,0.1602670903,0.3889228586,0.330784,0.4063,0.00025,0.03855,False,Folk,Folk,21,31,8
1,1,1300,1,0,11,128000,0,2008-11-26 01:44:07,253,5,1593,1299,2,0.3763124975,0.7340790229,0.2656847734,0.6695811237,0.0859951222,0.0390682262,107.952,0.6099912728,0.3889228586,0.330784,0.4063,0.0,0.0,False,Folk,Folk,14,31,18
0,1,1304,2,0,11,128000,0,2008-11-26 01:44:10,182,1,839,725,4,0.9636568796,0.435932998,0.0756321472,0.3454934909,0.1056858694,0.0266578493,33.477,0.1639499337,0.3889228586,0.330784,0.4063,0.0001666667,0.03855,False,Folk,Folk,21,31,4
0,1,845,1,0,11,128000,0,2008-11-26 01:44:11,470,6,1223,848,5,0.6628811246,0.3790654766,0.8238557796,0.9102661844,0.0887052551,0.0790903546,147.781,0.0928676322,0.3889228586,0.330784,0.4063,0.000125,0.03855,False,Folk,Folk,14,31,20
0,0,2014,0,1,7,256000,0,2008-11-26 01:44:15,82,1,1146,1143,1,0.9090114288,0.4436425913,0.6419971681,0.9240916996,0.2676694513,0.0896589132,128.537,0.7882507821,0.252380591,0.238153,0.263657,6.25e-05,0.0385,False,Jazz,Jazz,10,16,7
0,0,2014,0,1,7,256000,0,2008-11-26 01:44:18,326,1,968,883,3,0.2355061866,0.4386716924,0.4877519875,0.7161218401,0.0703593076,0.047297772,120.79,0.650451689,0.252380591,0.238153,0.263657,0.0,0.0,False,Jazz,Jazz,10,16,10
0,1,1446,0,1,7,256000,0,2008-11-26 01:44:21,354,5,855,690,6,0.5320194932,0.4176809211,0.4764224981,0.4025004064,0.172104669,0.0353607215,135.468,0.6823971806,0.252380591,0.238153,0.263657,0.00025,0.0385,False,Jazz,Jazz,11,16,44
0,1,1446,0,1,7,256000,0,2008-11-26 01:44:25,232,2,930,766,7,0.7784099162,0.7066810633,0.8661160135,0.8067025985,0.1046498167,0.0650834651,120.218,0.9176129075,0.252380591,0.238153,0.263657,0.0,0.0,False,Jazz,Jazz,11,16,26
0,0,628,2,0,0,256000,0,2008-11-26 01:45:00,405,5,354,424,2,0.9883055496,0.2556609004,0.9797737929,0.9730057241,0.121342,0.0517397623,90.241,0.0340178672,0.2627167688,0.173315,0.274455,0.00025,0.0443,False,Rock,Rock,14,14,18
0,0,628,2,0,0,256000,0,2008-11-26 01:45:04,319,1,242,205,4,0.9701348869,0.3529461312,0.0238515619,0.9571128852,0.1132607212,0.0321767642,53.758,0.035631561,0.2627167688,0.173315,0.274455,0.0005,0.070213,False,Rock,Rock,14,14,19
0,0,197,1,0,0,192000,0,2008-11-26 01:45:10,756,1,268,197,0,0.9816573443,0.1422492483,0.9121220855,0.9672939775,0.3635095155,0.0875269884,91.912,0.0343252564,0.2627167688,0.173315,0.274455,0.0,0.0,False,Rock,Rock,15,14,23
0,0,716,4,0,2,192000,0,2008-11-26 01:46:02,144,1,815,270,1,0.989141175,0.2259775281,0.7228348527,0.2630762793,0.0923705318,0.0534063523,94.322,0.0283472078,0.2756719299,0.162622,0.287989,0.00025,0.039431,False,Rock,Rock,12,10,12
0,0,193,2,0,2,192000,0,2008-11-26 01:46:05,181,0,468,122,2,0.8866597102,0.2985183025,0.7443325625,0.9209504901,0.1395870184,0.0887810414,97.88,0.0735475474,0.2756719299,0.162622,0.287989,0.0,0.0,False,Rock,Rock,12,10,26
0,0,346,2,0,2,320000,0,2008-11-26 01:46:07,80,0,582,242,2,0.6982777611,0.2858156458,0.2134937338,0.9556913003,0.0870359278,0.0640938189,125.645,0.1505991359,0.2756719299,0.162622,0.287989,0.00025,0.039431,False,Rock,Rock,19,10,23
